G5E962 Q9URQ5
P35192 P63279
P40473 P63279
P38986 P63279
P53252 P63279
P40151 P63279
P63279 P25611
P25515 P63279
P53174 P63279
P63279 P38340
P63279 P53286
P63279 P32502
P17423 P63279
P38703 P63279
P63279 P37263
P38319 P63279
P63279 P15873
P25354 P63279
P63279 P32562
P63279 EBI-11522346
P63279 P33417
P63279 P53176
P69851 H3BTW2
P63279 P25453
P53243 P63279
P49723 P63279
P63279 P46985
P63279 P38991
P60010 P63279
P98170 P38340
P89886 O43583
P47086 P78356-2
P81877 P20081
P40454 P81877
P43356 P87108
P38744 Q02363
G5E962 Q01976
P98170 Q01976
P32502 P98170
Q00796 P32502
O76083-2 Q00618
O95994 Q01589
Q02821 P22234
P10823 Q02818
O00444 Q02793
P55347 Q02642
O96015 Q02647
Q02642 A4D127
Q02793 P38432
Q02821 O00635
P35520 Q02821
Q02821 P63261
A0A0C4DGF1 Q02821
Q02821 H3BTW2
Q02821 Q96A10
Q02821 P20591
Q02831 P19012
O95751 Q02831
P13196 Q02821
Q02821 P60709
A0A0C4DGS5 Q02831
Q03020 P61289
Q03020 P12268
Q03020 P19012
P14373 Q02831
H3BTW2 Q02831
P37198 Q02831
Q02939 E9PFK9
P63279 Q03373
O14641 Q03338
Q03063 P63279
Q03063 P23497-2
Q03063 O14641
Q03262 O43809
Q03920 O43186
P43355 Q03782
Q03718 P63279
Q03373 P31947
Q03393 P32502
P38340 Q03393
G5E962 Q03654
O94993 Q04307
Q04307 P32321
H3BTW2 Q04307
P43356 Q03981
O43765 Q04201
Q04110 P63279
Q04264 O95198
Q04712 O95273
Q04638 EBI-11522976
Q04323 P40325
A2A369 Q04461
P40325 Q04323-2
Q04603 Q01658
O43765 Q05899
O60684 Q04978
Q05164 O43791
Q05164 G5E962
Q06132 P51116
P49760-3 Q05947
P38432 Q05955
Q6UN15 Q06102
O15209 Q06287
P38159 Q06251
P38432 Q06132
Q06178 P63279
P62258 Q06251
Q05D60 Q06411
Q06411 P38432
Q06340 P63279
Q06389 P01011
Q06408 O75071
O43586 Q06630
Q06630 O95751
EBI-11522976 Q06543
Q06630 O95273
O15156-2 Q06630
Q06630 O14641
Q06630 A0A0C4DGS5
P51116 Q06667
P19012 Q06707
Q06707 P37198
Q07540 A0A024R0Y4
A0A0C4DGS5 Q07379
O43765 Q06810
Q06892 O95544
Q07379 P35520
Q08273 O95198
O43791 Q08273
O96006 Q07887
EBI-11522976 Q07951
G5E962 Q07978
Q0VDD7 Q03973
Q08981 P62258
P63279 Q08581
Q08909 O14641
O00308 Q08909
P00492 Q12056
Q12056 A0A0C4DGS5
Q07951 Q0VDD7
Q12020 P63279
O95751 Q12055
O95994 Q12140
Q12083 O14641
O95994 Q12118
Q12134 O14641
Q12161 E9PFK9
O95994 Q12154
O15294-3 Q12140
O43852-3 Q12154
O95967 Q12154
P48775 Q12181
EBI-11522976 Q12161
Q12161 P15622-3
Q12161 P38432
Q12161 P23511-2
Q12259 P35520
Q12211 P35606
Q12181 O14641
P63279 Q12206
O95198 Q12208
Q12259 O00505
O43597 Q12259
O60684 Q12259
Q12259 O76083-2
O00629 Q12259
O95751 Q12318
A0A0C4DGS5 Q12318
Q12306 B0QYN7
P63279 Q12306
P23497-2 Q12306
O94972 Q12417
A0A0C4DGS5 Q12417
O15162 Q12329
Q12380 P49760-3
Q12329 A0A024R0Y4
O14641 Q12389
O43639 Q12446
O43586 Q12446
Q12439 O75928-2
O14641 Q12439
Q12439 P63279
Q12476 O14641
P41902 Q12800
Q12481 O14641
P25372 Q12800
Q12527 O43597
Q12800 P38340
Q12846 Q08144
P25385 Q12846
P53900 Q12800
Q12800 P35184
Q12800 P40185
Q12800 P25566
P38340 Q13049
Q13049 P38868
P38736 Q12846
P38182 Q12983
P32502 Q13049
Q13137 Q02821
P39518 Q13137
Q13049 P40070
Q07821 Q13137
Q13137 Q12342
P32902 Q13137
P41911 Q13137
P05759 Q13137
Q13137 P40325
Q13137 Q06630
Q13137 Q06707
P38340 Q13155
Q13155 P32502
P0CH08 Q13137
Q13137 P40302
P38815 Q13137
P53930 Q13155
P38932 Q13190
Q12055 Q13164
Q13164 P53286
Q12156 Q13164
Q13422-7 P28004
Q06671 Q13422-7
Q13191 EBI-11522220
Q13287 P39078
Q13422-7 P25372
P23059 Q13422-7
Q13422-7 P32529
Q13422-7 P36009
Q13422-7 P39518
Q13422-7 Q03338
Q04307 Q13422-7
EBI-11522371 Q13422-7
Q13422-7 Q03233
Q13422-7 P36534
P32562 Q13422-7
P40325 Q13490
P39724 Q13422-7
Q13490 P32502
P38339 Q13490
P32502 Q13554-3
Q01976 Q13490
P12709 Q13501
Q13554-3 P16622
P19955 Q13643
Q13643 Q03020
P28004 Q13643
Q02821 Q13557-8
Q13620 Q08273
EBI-11522371 Q13829
P25372 Q13643
Q13643 P26343
Q02821 Q13867
Q13829 P38011
Q13867 P38340
Q14566 P40302
P32895 Q14558
P27476 Q14141-4
Q14145 P17709
Q14145 P38109
P20133 Q15008
P38340 Q14749
Q14566 P39946
Q14596-2 P89105
P32502 Q14749
Q15025 Q12259
P32458 Q15019-3
Q15025 P28777
P29703 Q15025
P38340 Q15025
Q15025 P12945
P40325 Q15025
Q02821 Q15038
Q15025 P32571
P40956 Q15038
Q15038 P54787
P39518 Q15041
Q02724 Q15041
P47162 Q15038
Q15038 P38340
Q15038 P0CH08
P32453 Q15041
Q02821 Q15041
P12612 Q15041
P04819 Q15041
Q12259 Q15041
P53296 Q15041
Q15041 P53845
Q15415 P38340
Q15415 P36084
P32614 Q15102
Q15311 Q07978
Q15311 P40014
Q15427 P53829
Q15427 P20081
Q15427 EBI-11522220
Q15427 P38340
Q06676 Q15437
P39724 Q15437
Q15427 P25343
Q15427 P32831
Q15437 P22215
P53933 Q15642-2
P53337 Q15437
P36125 Q15437
P38166 Q15437
P39724 Q15654
Q15654 P38263
Q15645 Q04307
P40446 Q15645
Q15645 P00330
P25372 Q15654
P47041 Q15654
Q15834 O13539
Q12318 Q15911-2
P33299 Q16401
Q16630-2 P20081
P20081 Q16630-3
Q16637 Q12460
Q16637 P15646
P47086 Q16637
P39990 Q16637
EBI-11522403 Q16637
P38340 Q16637
Q12460 Q16637-3
Q3E793 P98170
P39990 Q16637-3
Q16637-3 EBI-11522403
P25635 Q2NKX8
P38340 Q16637-3
Q3E793 O76003
Q16637-3 P47086
Q2TAC2-2 P53255
Q13490 Q3E793
P32502 Q53EZ4
Q53EZ4 EBI-11522371
Q53EZ4 Q06411
Q53EZ4 Q07732
Q3E7B2 O43765
P11972 Q53EZ4
P35180 Q53EZ4
P38340 Q53EZ4
P32502 Q53G59
Q53EZ4 P49089
P53953 Q53G59
Q53EZ4 P35184
Q06132 Q53G59
